,0
0,0.999058220748573
1,0.9974897001537649
2,0.9983251295819502
3,0.9955114422152228
4,0.9814555488978405
5,0.054547055826325686
6,0.9706664040446414
7,0.9733236871483523
8,0.9981086999881575
9,0.9771616097848843
10,0.9994992869291043
11,0.9968631243933223
12,0.992708490273437
13,0.11489564714584044
14,0.9895916631773858
15,0.987733330204818
16,0.9887281870375375
17,0.9983515989320741
18,0.9695472726249221
19,0.9985921074749271
20,0.4567797167458293
21,0.9975317161910996
22,0.9989842811647754
23,0.9976249047792924
24,0.9911328623721397
25,0.474921021759363
26,0.9828681059601929
27,0.9907731678939151
28,0.9869447420584939
29,0.9659505878755347
30,0.996255043681569
31,0.9960983929294743
32,0.9387307027508313
33,0.9990782507133862
34,0.9648723203017194
35,0.9977310315336565
36,0.9896180456539121
37,0.9867936848873081
38,0.988511508744167
39,0.9984149720086536
40,0.9982467796344495
41,0.9876072993895895
42,0.9836816531117267
43,0.9926614367217235
44,0.9648575945110047
45,0.9826622178519725
46,0.9866657026805972
47,0.7885574116022587
48,0.9680771304854192
49,0.9965105201844455
50,0.9763075629546887
51,0.989455972749043
52,0.9957133351304428
53,0.9982011143972492
54,0.9959242194180614
55,0.9317410281968079
56,0.9959729675617678
57,0.9961711398063757
58,0.9671365525893205
59,0.9988415346885422
60,0.9990012990973808
61,0.9904201637153338
62,0.08889219847615593
63,0.7518952191152936
64,0.9956664124898789
65,0.9965898748939773
66,0.9901511789220114
67,0.9987059954386137
68,0.9989585234631155
69,0.9935320346232217
70,0.9998378223891744
71,0.9998572127879417
72,0.9996218155105033
73,0.9993672824267266
74,0.9738182541280662
75,0.9613764475831352
76,0.9970474883713585
77,0.9993374798429439
78,0.999135107683659
79,0.9859338807994048
80,0.9712615496125795
81,0.9989840858650746
82,0.9931069945363231
83,0.9896139543117193
84,0.9999807447903353
85,0.997595149987449
86,0.9999021567643451
87,0.9923104613942482
88,0.9983447781707064
89,0.9855842076571935
90,0.9991405930917482
91,0.9971091734866582
92,0.9923840228988465
93,0.9809792247616058
94,0.859062373015075
95,0.995449180889118
96,0.9796065680776689
97,0.9991761562741763
98,0.9739199555161868
99,0.9974675980886527
100,0.991953125113424
101,0.9938709403210628
102,0.6959992225477725
103,0.8831670836245037
104,0.9907568120857175
105,0.969916255064697
106,0.9947691722426492
107,0.9957657244458412
108,0.9959420576901002
109,0.9988197672829437
110,0.9934804931260359
111,0.9488010822407636
112,0.9889189977158842
113,0.995191145341997
114,0.9987678435438675
115,0.09478732965535419
116,0.9874659140112899
117,0.9987749744847394
118,0.9918122444267428
119,0.9987562577797454
120,0.9811646961073889
121,0.9883882033126462
122,0.9986789687411602
123,0.9987305821586038
124,0.9969720151599175
125,0.9960656624396539
126,0.9910674086846345
127,0.9902934986811339
128,0.9986040278540086
129,0.9960649875581609
130,0.9391623250252279
131,0.9724968102334295
132,0.9984727423223017
133,0.9981206372569389
134,0.99428213645294
135,0.961184659089305
136,0.9996056512786794
137,0.9998192829083716
138,0.9859611094112976
139,0.9973507500865854
140,0.9996492314995378
141,0.9946300202725279
142,0.9477875773172946
143,0.9743691867474645
144,0.9808668859429447
145,0.9653030883348345
146,0.9913468531021227
147,0.9834775917483506
148,0.9991842138562138
149,0.9721461820521801
150,0.9994312865083117
151,0.9405981468406907
152,0.9733395802226668
153,0.9974965076654666
154,0.9895659069092334
155,0.9985688589842042
156,0.998179848667894
157,0.9752885806421702
158,0.9983811640542392
159,0.9881484533476145
160,0.9937702097564541
161,0.998552449827294
162,0.9940502624801469
163,0.9919418185834461
164,0.9965551449590904
165,0.9901633230189127
166,0.9972886320892226
167,0.997311045709228
168,0.9963015123643679
169,0.992336490521303
170,0.9849363117207893
171,0.9829005454955887
172,0.9978458529301116
173,0.996184863076673
174,0.9991591204630681
175,0.9924808837061277
176,0.9962653880992052
177,0.9922637041477305
178,0.9996430671780073
179,0.9995744110069514
180,0.9959342015358992
181,0.9949674022331068
182,0.9851240475582091
183,0.9931702108246667
184,0.9947841382336081
185,0.9710240028200945
186,0.9986913399704834
187,0.9982082465671911
188,0.9971701789483958
189,0.9960120676179898
190,0.9984028902802132
191,0.998711777400701
192,0.9943671800430038
193,0.9997802630749392
194,0.9968042954589617
195,0.9928703801718908
196,0.9930000363607405
197,0.9990665642390776
198,0.11292316179161854
199,0.9995142195846772
200,0.991295912468622
201,0.9739578441019522
202,0.999711651885247
203,0.9965725739486422
204,0.19548440507918285
